01 Air	1	10,11
Unspecified		0	10,11
Attack/Strike	Military Aircraft Type	1	10,11
Bomber	Military Aircraft Type	2	10,11
Cargo	Aircraft Type	3	10,11
Fighter	Military Aircraft Type	4	10,11
Interceptor	Military Aircraft Type	5	10,11
Tanker	Aircraft Type	6	10,11
Utility	Aircraft Type	7	10,11
Vertical or Short Take-off and Landing (VSTOL)/Vertical Take-off and Landing (VTOL)	Aircraft Type	8	10,11
Passenger	Aircraft Type	9	10,11
Ultra Light	Aircraft Type	10	10,11
Airborne Command Post (ACP)	Military Aircraft Type	11	10,11
Airborne Early Warning (AEW)	Military Aircraft Type	12	10,11
Government	Aircraft Type	13	10,11
Medical Evacuation (MEDEVAC)	Mission Area	14	10,11
Escort	Military Mission Area	15	10,11
Electronic Combat (EC)/Jammer	Military Mission Area	16	10,11
Patrol	Mission Area	17	10,11
Reconnaissance	Mission Area	18	10,11
Trainer	Mission Area	19	10,11
Photographic (Reconnaissance)	Mission Area	20	10,11
Personnel Recovery	Mission Area	21	10,11
Antisubmarine Warfare	Military Mission Area	22	10,11
Communications	Mission Area	23	10,11
Electronic Support (ES)	Military Mission Area	24	11
Electronic Support Measures	Military Mission Area	24	10
Mine Countermeasures (MCM)	Military Mission Area	25	10,11
Search and Rescue	Mission Area	26	10,11
Special Operations Forces	Military Mission Area	27	10,11
Surface Warfare	Military Mission Area	28	10,11
Very Important Person (VIP) Transport	Mission Area	29	10,11
Combat Search and Rescue (CSAR)	Military Mission Area	30	10,11
Suppression of Enemy Air Defenses	Military Mission Area	31	10,11
Antisurface Warfare	Military Mission Area	32	10,11
Fighter/Bomber	Military Aircraft Type	33	10,11
Intensive Care	Mission Area	34	10,11
Electronic Attack (EA)	Military Mission Area	35	10,11
Multi-Mission	Mission Area	36	10,11
Hijacking/Hijacked	Crime	37	10,11
ASW Helo - LAMPS	Mission Area	38	10,11
ASW Helo - SH-60R	Mission Area	39	10,11
Hijacker	Crime	40	11
Cyberspace	Capability	41	11
01 Air	2	10,11
Unspecified		0	10,11
Heavy	Cargo/Transport Capacity	1	10,11
Medium	Cargo/Transport Capacity	2	10,11
Light	Cargo/Transport Capacity	3	10,11
Boom-Only	Re-Fueling Capability	4	10,11
Drogue-Only	Re-Fueling Capability	5	10,11
Boom and Drogue	Re-Fueling Capability	6	10,11
Close Range	Range	7	10,11
Short Range	Range	8	10,11
Medium Range	Range	9	10,11
Long Range	Range	10	10,11
Downlinked	Track Link Availability	11	10,11
Cyberspace	Capability	12	11
02 Air Missile	1	10,11
Unspecified		0	10,11
Air	Launch Origin	1	10,11
Surface	Launch Origin	2	10,11
Subsurface	Launch Origin	3	10,11
Space	Launch Origin	4	10,11
Anti-Ballistic	Missile Class	5	10,11
Ballistic	Missile Class	6	10,11
Cruise	Missile Class	7	10,11
Interceptor	Missile Class	8	10,11
02 Air Missile	2	10,11
Unspecified		0	10,11
Air	Missile Destination	1	10,11
Surface	Missile Destination	2	10,11
Subsurface	Missile Destination	3	10,11
Space	Missile Destination	4	10,11
Launched	Missile Status	5	10,11
Missile	Missile Status	6	10,11
Patriot	Missile Type-BMD	7	10,11
Standard Missile-2 (SM-2)	Missile Type-AAW	8	10,11
Standard Missile-6 (SM-6)	Missile Type-AAW	9	10,11
Evolved Sea Sparrow Missile (ESSM)	Missile Type-AAW	10	10,11
Rolling Airframe Missile (RAM)	Missile Type-AAW	11	10,11
Short Range	Missile Range	12	10,11
Medium Range	Missile Range	13	10,11
Intermediate Range	Missile Range	14	10,11
Long Range	Missile Range	15	10,11
Intercontinental	Missile Range	16	10,11
05 Space	1	10,11
Unspecified		0	10,11
Low Earth Orbit (LEO)	Orbit	1	10,11
Medium Earth Orbit (MEO)	Orbit	2	10,11
High Earth Orbit (HEO)	Orbit	3	10,11
Geosynchronous Orbit (GSO)	Orbit	4	10,11
Geostationary Orbit (GO)	Orbit	5	10,11
Molniya Orbit (MO)	Orbit	6	10,11
Cyberspace	Capability	7	11
05 Space	2	10,11
Unspecified		0	10,11
Optical	Sensor	1	10,11
Infrared	Sensor	2	10,11
Radar	Sensor	3	10,11
Signals Intelligence (SIGINT)	Sensor	4	10,11
Cyberspace	Capability	5	11
06 Space Missile	1	10,11
Unspecified		0	10,11
Ballistic	Missile Class	1	10,11
Space	Launch Origin	2	10,11
Interceptor	Missile Class	3	10,11
06 Space Missile	2	10,11
Unspecified		0	10,11
Short Range	Missile Range	1	10,11
Medium Range	Missile Range	2	10,11
Intermediate Range	Missile Range	3	10,11
Long Range	Missile Range	4	10,11
Intercontinental	Missile Range	5	10,11
Arrow	Missile Type-BMD	6	10,11
Ground-Based Interceptor (GBI)	Missile Type-BMD	7	10,11
Patriot	Missile Type-BMD	8	10,11
Standard Missile Terminal Phase (SM-T)	Missile Type-BMD	9	10,11
Standard Missile - 3 (SM-3)	Missile Type-BMD	10	10,11
Terminal High Altitude Area Defense (THAAD)	Missile Type-BMD	11	10,11
Space	Launch Origin	12	10,11
Close Range (CRBM)	Missile Range	13	10,11
Debris	Missile Type-BMD	14	10,11
Unknown	Missile Type-BMD	15	10,11
10 Land Unit	1	10,11
Unspecified		0	10,11
Tactical Satellite Communications	Capability	1	10,11
Area	Capability	2	10,11
Attack	Capability	3	10,11
Biological	Capability	4	10,11
Border	Capability	5	10,11
Bridging	Capability	6	10,11
Chemical	Capability	7	10,11
