00 Common	1	15,16
Unmanned Aircraft (UA)/ Unmanned Aerial Vehicle (UAV)/Unmanned Aircraft System (UAS)/Drone	Mobility	100	15,16
Robotic	Mobility	101	15,16
Fixed Wing	Mobility	102	15,16
Rotary Wing	Mobility	103	15,16
Tilt-Rotor	Mobility	104	15,16
VSTOL/VTOL or Helicopter Equipped	Mobility	105	15,16
Attack/Strike	Capability	106	15,16
Armored	Capability	107	15,16
Ballistic Missile/Ballistic Missile Defense Shooter	Capability	108	15,16
Bridge/Bridging	Capability	109	15,16
Cargo	Capability	110	15,16
Utility	Capability	111	15,16
Light	Capability	112	15,16
Medium	Capability	113	15,16
Heavy	Capability	114	15,16
Cyberspace	Capability	115	15,16
Command Post Node	Capability	116	15,16
Joint Network Node	Capability	117	15,16
Retransmission Site	Capability	118	15,16
Brigade	Support Level	119	15,16
Close Protection	Capability	120	15,16
Combat	Capability	121	15,16
Command and Control	Capability	122	15,16
Crowd and Riot Control	Capability	123	15,16
Explosive Ordnance Disposal	Capability	124	15,16
Intelligence Surveillance Reconnaissance	Capability	125	15,16
Maintenance	Capability	126	15,16
Medevac/Medic/Medical	Capability	127	15,16
Search and Rescue	Capability	128	15,16
Security	Capability	129	15,16
Sniper	Capability	130	15,16
Special Operations Forces	Capability	131	15,16
Special Weapons and Tactics (SWAT)	Capability	132	15,16
Guided Missile	Capability	133	15,16
Other Guided Missile	Capability	134	15,16
Petroleum/Petroleum Oil and Lubricants	Capability	135	15,16
Water	Capability	136	15,16
Weapon(s)	Capability	137	15,16
Chemical	CBRN	138	15,16
Radiological	CBRN	140	15,16
Nuclear	CBRN	141	15,16
Decontamination	CBRN	142	15,16
Civilian	Organization	143	15,16
Government Organization/ Government Organization Member	Organization	144	15,16
Accident	Composite Loss or Incident Qualifier	145	15,16
Assassination	Crime	146	15,16
Execution	Crime	147	15,16
Kidnapping	Crime	148	15,16
Piracy	Crime	149	15,16
Rape	Crime	150	15,16
Antisubmarine Warfare	Mission Area	151	15,16
Escort	Mission Area	152	15,16
Mine Countermeasures	Mission Area	153	15,16
Mine Warfare	Mission Area	154	15,16
Surface Warfare	Mission area	155	15,16
Command	Support Level	156	15,16
Company	Support Level	157	15,16
Platoon/Detachment	Support Level	158	15,16
Regiment/Group	Support Level	159	15,16
Section	Support Level	160	15,16
Squad	Support Level	161	15,16
Team/Crew	Support Level	162	15,16
Battalion	Support Level	163	15,16
Directed Energy	Capability	164	15,16
Hijacker	Crime	165	15,16
Electromagnetic Warfare	Capability	166	15,16
Laboratory	Capability	168	15,16
Non-Governmental Organization	Organization	170	15,16
Railway	Capability	171	15,16
Clear	Capability	174	15,16
Jamming	Capability	175	15,16
Wired	Capability	176	15,16
Wireless	Capability	177	15,16
Low Altitude	Capability	178	15,16
Medium Altitude	Capability	179	15,16
Reserve		182	15,16
00 Common	2	15,16
Airborne	Mobility	100	15,16
Bicycle Equipped	Mobility	101	15,16
Railway	Capability	102	15,16
Ski	Mobility	103	15,16
Tracked	Mobility	104	15,16
Wheeled (Limited Cross Country)	Mobility	105	15,16
Wheeled X (Cross Country)	Mobility	106	15,16
Fixed Wing	Mobility	107	15,16
Rotary Wing	Mobility	108	15,16
Robotic	Mobility	109	15,16
Autonomous Control	Capability	110	15,16
Remotely Piloted	Capability	111	15,16
Expendable	Capability	112	15,16
Mountain	Capability	113	15,16
Long Range	Capability	114	15,16
Medium Range	Capability	115	15,16
Short Range	Capability	116	15,16
Close Range	Capability	117	15,16
Heavy	Capability	118	15,16
Medium	Capability	119	15,16
Light and Medium	Capability	120	15,16
Light	Capability	121	15,16
Cyberspace	Capability	122	15,16
Security Force Assistance	Capability	123	15,16
Medical Bed	Capability	124	15,16
Multifunctional	Capability	125	15,16
Laboratory	Capability	127	15,16
Over-snow (prime mover)	Capability	129	15,16
Supply	Capability	131	15,16
Electromagnetic Warfare	Capability	133	15,16
Jamming	Capability	134	15,16
Reserve		135	15,16
01 air	1	15,16
Unspecified		0	15,16
Bomber	Military Aircraft Type	2	15,16
Fighter	Military Aircraft Type	4	15,16
Interceptor	Military Aircraft Type	4	16
Tanker	Aircraft Type	6	15,16
Passenger	Aircraft Type	9	15,16
Ultra Light	Aircraft Type	10	15,16
Airborne Command Post (ACP)	Military Aircraft Type	11	15,16
Airborne Early Warning (AEW)	Military Aircraft Type	12	15,16
Government	Military Aircraft Type	13	16
Electronic Combat (EC)/Jammer	Military Mission Area	16	15,16
Patrol	Mission Area	17	15,16
Reconnaissance	Mission Area	18	15,16
Trainer	Mission Area	19	15,16
Photographic (Reconnaissance)	Mission Area	20	15,16
Personnel Recovery	Mission Area	21	15
Communications	Mission Area	23	15,16
Electronic Support (ES)	Military Mission Area	24	15
Electronic Support Measures	Military Mission Area	24	16
Very Important Person (VIP) Transport	Mission Area	29	15,16
Combat Search and Rescue (CSAR)	Military Mission Area	30	15,16
Suppression of Enemy Air Defence		31	16
Antisurface Warfare	Military Mission Area	32	15
Fighter/Bomber	Military Aircraft Type	33	15,16
Intensive Care	Mission Area	34	15,16
Electromagnetic Attack (EA)	Military Mission Area	35	15
Multi-Mission	Mission Area	36	15,16
ASW Helo - LAMPS	Mission Area	38	15,16
ASW Helo - SH-60R	Mission Area	39	15,16
Maritime Patrol Aircraft (MPA)	Military Mission Area	42	16
01 air	2	15,16
Unspecified		0	15,16
Boom-Only	Re-Fueling Capability	4	15,16
Drogue-Only	Re-Fueling Capability	5	15,16
Boom and Drogue	Re-Fueling Capability	6	15,16
Downlinked	Track Link Availability	11	15,16
02 Air Missile	1	15,16
Unspecified		0	15,16
Air	Launch Origin	1	15,16
Surface	Launch Origin	2	15,16
Subsurface	Launch Origin	3	15,16
Space	Launch Origin	4	15,16
Anti-Ballistic	Missile Class	5	15,16
Ballistic	Missile Class	6	15,16
Cruise	Missile Class	7	15,16
Interceptor	Missile Class	8	15,16
Hypersonic	Missile Class	9	15,16
02 Air Missile	2	15,16
Unspecified		0	15,16
Air	Missile Destination	1	15,16
Surface	Missile Destination	2	15,16
Subsurface	Missile Destination	3	15,16
Space	Missile Destination	4	15,16
Launched	Missile Status	5	15,16
Patriot	Missile Type-BMD	7	15,16
Standard Missile-2 (SM-2)	Missile Type-AAW	8	15,16
Standard Missile-6 (SM-6)	Missile Type-AAW	9	15,16
Evolved Sea Sparrow Missile (ESSM)	Missile Type-AAW	10	15,16
Rolling Airframe Missile (RAM)	Missile Type-AAW	11	15,16
Short Range	Missile Range	12	15,16
Medium Range	Missile Range	13	15,16
Intermediate Range	Missile Range	14	15,16
Long Range	Missile Range	15	15,16
Intercontinental	Missile Range	16	15,16
05 Space	1	15,16
Unspecified		0	15,16
Low Earth Orbit (LEO)	Orbit	1	15,16
Medium Earth Orbit (MEO)	Orbit	2	15,16
High Earth Orbit (HEO)	Orbit	3	15,16
Geosynchronous Orbit (GSO)	Orbit	4	15,16
Geostationary Orbit (GO)	Orbit	5	15,16
Molniya Orbit (MO)	Orbit	6	15,16
05 Space	2	15,16
Unspecified		0	15,16
Optical	Sensor	1	15,16
Infrared	Sensor	2	15,16
Radar	Sensor	3	15,16
Signals Intelligence (SIGINT)	Sensor	4	15,16
High Power Microwave (ASAT)	Capability	7	15,16
Laser (ASAT)	Capability	8	15,16
Mine (ASAT)	Capability	9	15,16
Maintenance	Capability	10	15,16
Refuel	Capability	11	15,16
Tug	Capability	12	15,16
06 Space Missile	1	15,16
Unspecified		0	15,16
Ballistic	Missile Class	1	15,16
Space	Launch Origin	2	15,16
Interceptor	Missile Class	3	15,16
Hypersonic	Missile Class	4	15,16
06 Space Missile	2	15,16
Unspecified		0	15,16
Short Range	Missile Range	1	15,16
Medium Range	Missile Range	2	15,16
Intermediate Range	Missile Range	3	15,16
Long Range	Missile Range	4	15,16
Intercontinental	Missile Range	5	15,16
Arrow	Missile Type-BMD	6	15,16
Ground-Based Interceptor (GBI)	Missile Type-BMD	7	15,16
Patriot	Missile Type-BMD	8	15,16
Standard Missile Terminal Phase (SM-T)	Missile Type-BMD	9	15,16
Standard Missile - 3 (SM-3)	Missile Type-BMD	10	15,16
Terminal High Altitude Area Defense (THAAD)	Missile Type-BMD	11	15,16
Space	Launch Origin	12	15,16
Close Range (CRBM)	Missile Range	13	15,16
Debris	Missile Type-BMD	14	15,16
Unknown	Missile Type-BMD	15	15,16
10 Land Unit	1	15,16
Unspecified		0	15,16
Tactical Satellite Communications	Capability	1	15,16
Area	Capability	2	15,16
Biological	Capability	4	15
Border	Capability	5	15,16
Communications Contingency Package	Capability	11	15,16
Construction	Capability	12	15,16
Cross Cultural Communication	Capability	13	15,16
Detention	Capability	16	15,16
Direct Communications	Capability	17	15,16
Diving	Capability	18	15,16
Division	Capability	19	15
Dog	Capability	20	15,16
Drilling	Capability	21	15,16
Electro-Optical	Capability	22	15,16
Enhanced	Capability	23	15,16
Fire Direction Center	Capability	25	15,16
Force	Capability	26	15,16
Forward	Capability	27	15,16
Ground Station Module	Capability	28	15,16
Landing Support	Capability	29	15,16
Meteorological	Capability	32	15,16
Missile	Capability	34	15,16
Mobile Advisor and Support	Capability	35	15,16
Mobile Subscriber Equipment	Capability	36	15,16
Mobility Support	Capability	37	15,16
Multinational	Capability	39	15,16
Multinational Specialized Unit	Capability	40	15,16
Multiple Rocket Launcher	Capability	41	15,16
NATO Medical Role 1	Capability	42	15,16
NATO Medical Role 2	Capability	43	15,16
NATO Medical Role 2 Basic	Capability	81	16
NATO Medical Role 2 Enhanced	Capability	82	16
NATO Medical Role 2 Forward	Capability	83	16
NATO Medical Role 3	Capability	44	15,16
NATO Medical Role 4	Capability	45	15,16
Naval	Capability	46	15,16
Operations	Capability	49	15,16
Radar	Capability	50	15,16
Radio Frequency Identification (RFID) Interrogator/Sensor	Capability	51	15,16
Sensor	Capability	55	15,16
Signal Intelligence	Capability	57	15,16
Single Rocket Launcher	Capability	59	15,16
Smoke	Capability	60	15,16
Sound Ranging	Capability	62	15,16
Survey	Capability	65	15,16
Tactical Exploitation	Capability	66	15,16
Target Acquisition	Capability	67	15,16
Topographic/Geospatial	Capability	68	15,16
Video Imagery (Combat Camera)	Capability	70	15,16
Mobility Assault	Capability	71	15,16
Amphibious Warfare Ship	Capability	72	15,16
Load Handling System	Capability	73	15,16
Palletized Load System	Capability	74	15,16
Support	Capability	77	15,16
Route, Reconnaissance, and Clearance	Capability	79	15,16
Assault	Capability	84	15,16
Criminal Investigation Division	Capability	86	15,16
Digital	Capability	87	15,16
Network or Network Operations	Capability	88	15,16
Airfield, Aerial Port of Debarkation, or Aerial Port of Embarkation	Capability	89	15,16
Pipeline	Capability	90	15,16
Postal	Capability	91	15,16
Theater	Support Level	94	15,16
Army or Theater Army	Support Level	95	15,16
Corps	Support Level	96	15,16
Headquarters or headquarters staff element	Support Level	98	15,16
Multi-Domain Operations	Capability	99	15
Direection Finding	Capability	A0	16
Electric Generation	Capability	A1	15,16
Intercept	Capability	A3	15,16
Intermodal	Capability	A4	15,16
Non-Combative Generic Vessel	Capability	A6	15,16
Search	Capability	A7	15,16
10 Land Unit	2	15,16
Unspecified		0	15,16
Arctic	Mobility	2	15,16
Battle Damage Repair	Capability	3	15,16
Casualty Staging	Capability	5	15,16
Clearing	Capability	6	15,16
Control	Capability	8	15,16
Decontamination	Capability	9	15,16
Demolition	Capability	10	15,16
Dental	Capability	11	15,16
Digital	Capability	12	15,16
Enhanced Position Location Reporting System (EPLRS)	Capability	13	15,16
High Altitude	Capability	16	15,16
Intermodal	Capability	17	15,16
Intensive Care	Capability	18	15,16
Launcher	Capability	21	15,16
Low Altitude	Capability	23	15,16
Medium Altitude	Capability	25	15,16
High to Medium Altitude	Capability	28	15,16
Multi-Channel	Capability	29	15,16
Optical (Flash)	Capability	30	15,16
Pack Animal	Capability	31	15,16
Patient Evacuation Coordination	Capability	32	15,16
Preventive Maintenance	Capability	33	15,16
Psychological	Capability	34	15,16
Radio Relay Line of Sight	Capability	35	15,16
Recovery	Capability	37	15,16
Maintenance	Capability	38	15,16
Rescue Coordination Center	Capability	39	15,16
Riverine	Mobility	40	15,16
Single Channel	Capability	41	15,16
Strategic	Capability	44	15,16
Support	Capability	45	15,16
Tactical	Capability	46	15,16
Towed	Mobility	47	15,16
Troop	Capability	48	15,16
Vertical or Short Take-Off and Landing (VTOL/VSTOL)	Mobility	49	15,16
Veterinary	Capability	50	15,16
High to Low Altitude	Capability	52	15,16
Medium to Low Altitude	Capability	53	15,16
Attack	Capability	54	15,16
Refuel	Capability	55	15,16
Utility	Capability	56	15,16
Combat Search and Rescue	Capability	57	15,16
Guerrilla	Capability	58	15,16
Air Assault	Mobility	59	15,16
Amphibious	Mobility	60	15,16
Very Heavy	Capability	61	15,16
Barge, Self-Propelled	Mobility	64	15,16
Barge, Not Self-Propelled	Mobility	65	15,16
Launch	Mobility	66	15,16
Landing Craft	Mobility	67	15,16
Landing Ship	Mobility	68	15,16
Service Craft/Yard	Mobility	69	15,16
Tug Harbor	Mobility	70	15,16
Ocean Going Tug Boat	Mobility	71	15,16
Surface Deployment and Distribution Command	Capability	72	15,16
Noncombatant Generic Vessel	Mobility	73	15,16
Composite	Capability	74	15,16
Shelter	Capability	75	15,16
Surgical	Capability	81	15,16
Blood	Capability	82	15,16
Combat and Operational Stress Control	Capability	83	15,16
Jamming	Capability	84	15,16
Optometry	Capability	86	15,16
Preventive Medicine	Capability	87	15,16
Air Defense	Capability	89	15
Intercept	Capability	91	15,16
Search	Capability	93	15,16
Fire Direction Center	Capability	94	15,16
Construction	Capability	95	15,16
Dog	Capability	96	15,16
11 Land Civilian Unit/Organization	1	15,16
Unspecified		0	15,16
Murder Victims	Crime	3	15,16
Displaced Persons/Refugees/Evacuees	Organization	9	15,16
Foreign Fighter(s)	Organization	10	15
Gang Member or Gang	Organization	11	15,16
Leader or Leadership	Organization	13	15
Unwilling/Coerced Recruit	Organization	15	15,16
Willing Recruit	Organization	16	15,16
Religious or Religious Organization	Organization	17	15
Targeted Individual or Organization	Organization	18	15,16
Terrorist or Terrorist Organization	Organization	19	15,16
Speaker	Organization	20	15,16
Other	Composite Loss	23	15,16
Loot	Crime	24	15,16
11 Land Civilian Unit/Organization	2	15,16
Unspecified		0	15,16
Leader or Leadership	Organization	1	15
15 Land Equipment	1	15,16
Unspecified		0	15,16
Biological	Sensor Type	1	15
Early Warning Radar	Sensor Type	3	15,16
Intrusion	Sensor Type	4	15,16
Upgraded Early Warning Radar	Sensor Type	7	15,16
Multi-purpose Blade	Capability	12	15,16
Tank-width Mine Plow	Capability	13	15,16
15 Land Equipment	2	15,16
Unspecified		0	15,16
Tractor Trailer	Capability	6	15,16
20 Land Installations	1	15,16
Unspecified		0	15,16
Biological	CBRN Type	1	15
Coal	Electric Power Type	6	15,16
Geothermal	Electric Power Type	7	15,16
Hydroelectric	Electric Power Type	8	15,16
Natural Gas	Electric Power Type	9	15,16
Civilian Telephone	Telecommunication Type	12	15,16
Civilian Television	Telecommunication Type	13	15,16
Displaced Persons/Refugees/Evacuees Camp		15	15,16
Training Camp		16	15,16
20 Land Installations	2	15,16
Unspecified		0	15,16
Biological Warfare Production	Capability	1	15,16
Chemical Warfare Production	Capability	2	15,16
Nuclear Warfare Production	Capability	3	15,16
Radiological Warfare Production	Capability	4	15,16
Atomic Energy Reactor	Capability	5	15,16
Nuclear Material Production	Capability	6	15,16
Nuclear Material Storage	Capability	7	15,16
Weapons Grade Production	Capability	8	15,16
Transportation	Capability	10	15
Displaced Persons/Refugees/Evacuees Camp		11	15,16
Training Camp		12	15,16
25 Control Measures	1	15,16
Unspecified		0	15,16
Wheeled limited cross country	Mobility	1	15,16
Wheeled cross country	Mobility	2	15,16
Tracked	Mobility	3	15,16
Wheeled and tracked combination	Mobility	4	15,16
Towed	Mobility	5	15,16
Rail	Mobility	6	15,16
Pack Animals	Mobility	9	15,16
Sled	Mobility	8	15,16
Pack Animals	Mobility	9	15,16
Barge	Mobility	10	15,16
Amphibious	Mobility	11	15,16
No Vehicles	Mobility	12	15,16
Unspecified Mine	Obstacles	13	15,16
Antipersonnel Mine	Obstacles	14	15,16
Antipersonnel Mine with Directional Effects	Obstacles	15	15,16
Antitank Mine	Obstacles	16	15,16
Antitank Mine with Antihandling Device	Obstacles	17	15,16
Wide Area Antitank Mine	Obstacles	18	15,16
Mine Cluster	Obstacles	19	15,16
Antipersonnel Mine and Antipersonnel Mine with Directional Effects	Obstacles	20	15,16
Antipersonnel Mine and Antitank Mine	Obstacles	21	15,16
Antipersonnel Mine and Antitank Mine with Antihandling Device	Obstacles	22	15,16
Antipersonnel Mine and Wide Area Antitank Mine	Obstacles	23	15,16
Antipersonnel Mine and Mine Cluster	Obstacles	24	15,16
Antipersonnel Mine with Directional Effects and Antitank Mine	Obstacles	25	15,16
Antipersonnel Mine with Directional Effects and Antitank Mine with Antihandling Device	Obstacles	26	15,16
Antipersonnel Mine with Directional Effects and Wide Area Antitank Mine	Obstacles	27	15,16
Antipersonnel Mine with Directional Effects and Mine Cluster	Obstacles	28	15,16
Antitank Mine and Antitank Mine with Antihandling Device	Obstacles	29	15,16
